employee_id,type,start,days,status
1,Earned Leave,2019-04-08,5,Approved
3,Earned Leave,2016-02-05,6,Approved
3,Sick Leave,2016-05-24,2,Approved
3,Earned Leave,2017-08-20,7,Approved
3,Sick Leave,2017-11-11,3,Approved
3,Earned Leave,2018-07-24,6,Approved
3,Sick Leave,2018-03-16,3,Approved
3,Earned Leave,2019-11-03,7,Approved
3,Sick Leave,2019-11-01,2,Approved
3,Sick Leave,2020-04-15,3,Approved
3,Sick Leave,2021-08-19,3,Approved
3,Earned Leave,2022-03-01,3,Approved
3,Sick Leave,2022-02-17,2,Approved
3,Sick Leave,2023-06-02,2,Approved
4,Earned Leave,2022-02-21,6,Approved
4,Sick Leave,2022-10-08,3,Approved
4,Earned Leave,2023-04-08,6,Approved
5,Earned Leave,2019-04-06,3,Approved
5,Sick Leave,2021-09-15,2,Approved
5,Earned Leave,2022-07-24,5,Approved
5,Sick Leave,2022-05-13,2,Approved
5,Earned Leave,2023-04-21,6,Approved
6,Earned Leave,2023-09-01,5,Approved
6,Sick Leave,2023-02-19,2,Approved
7,Earned Leave,2022-06-10,5,Approved
7,Earned Leave,2023-01-09,3,Approved
8,Earned Leave,2017-09-23,5,Approved
8,Earned Leave,2019-11-26,7,Approved
8,Earned Leave,2020-11-03,3,Approved
8,Earned Leave,2021-08-10,3,Approved
8,Earned Leave,2022-10-25,4,Approved
8,Sick Leave,2022-02-19,2,Approved
8,Earned Leave,2023-07-11,5,Approved
8,Sick Leave,2023-05-24,2,Approved
9,Earned Leave,2021-10-24,5,Approved
10,Earned Leave,2020-04-25,5,Approved
10,Earned Leave,2021-01-17,7,Approved
10,Sick Leave,2022-02-16,3,Approved
10,Earned Leave,2023-01-11,6,Approved
10,Sick Leave,2023-01-14,2,Approved
12,Earned Leave,2019-07-06,4,Approved
12,Earned Leave,2020-05-06,3,Approved
13,Earned Leave,2018-10-24,5,Approved
13,Sick Leave,2018-08-11,3,Approved
13,Sick Leave,2019-06-13,2,Approved
13,Earned Leave,2020-08-03,3,Approved
13,Sick Leave,2020-03-09,2,Approved
13,Earned Leave,2021-10-03,3,Approved
13,Sick Leave,2021-09-10,3,Approved
13,Earned Leave,2022-10-08,3,Approved
13,Earned Leave,2023-07-19,4,Approved
13,Sick Leave,2023-03-16,2,Approved
15,Earned Leave,2021-04-25,3,Approved
15,Sick Leave,2021-06-01,2,Approved
15,Earned Leave,2022-06-19,3,Approved
16,Earned Leave,2021-05-16,6,Approved
16,Sick Leave,2021-07-15,2,Approved
17,Earned Leave,2017-07-04,3,Approved
17,Sick Leave,2017-11-27,3,Approved
17,Earned Leave,2018-02-08,4,Approved
17,Earned Leave,2020-02-02,5,Approved
17,Earned Leave,2021-05-14,5,Approved
17,Earned Leave,2022-08-16,5,Approved
17,Sick Leave,2022-04-13,3,Approved
17,Earned Leave,2023-05-22,3,Approved
18,Earned Leave,2021-08-05,6,Approved
18,Earned Leave,2022-04-10,6,Approved
18,Sick Leave,2022-10-27,3,Approved
18,Earned Leave,2023-02-04,7,Approved
19,Sick Leave,2020-09-12,2,Approved
19,Sick Leave,2021-11-21,3,Approved
19,Earned Leave,2022-11-08,7,Approved
19,Earned Leave,2023-06-16,3,Approved
22,Earned Leave,2020-06-23,7,Approved
22,Sick Leave,2022-03-10,3,Approved
22,Earned Leave,2023-07-02,6,Approved
22,Sick Leave,2023-10-15,3,Approved
23,Earned Leave,2021-06-05,6,Approved
23,Sick Leave,2021-06-05,3,Approved
23,Earned Leave,2022-04-20,5,Approved
23,Earned Leave,2023-01-20,6,Approved
24,Earned Leave,2021-05-08,7,Approved
24,Sick Leave,2021-07-11,3,Approved
24,Sick Leave,2022-05-16,2,Approved
24,Earned Leave,2023-01-07,7,Approved
24,Sick Leave,2023-02-11,3,Approved
25,Earned Leave,2020-02-08,6,Approved
25,Earned Leave,2022-09-12,5,Approved
25,Sick Leave,2022-07-17,2,Approved
25,Earned Leave,2023-02-04,4,Approved
26,Earned Leave,2023-06-11,5,Approved
26,Sick Leave,2023-01-19,2,Approved
27,Earned Leave,2022-08-22,5,Approved
27,Sick Leave,2022-02-26,2,Approved
27,Earned Leave,2023-04-26,3,Approved
28,Earned Leave,2018-05-10,5,Approved
28,Sick Leave,2019-04-13,2,Approved
28,Earned Leave,2020-01-17,4,Approved
28,Earned Leave,2023-02-14,6,Approved
29,Earned Leave,2021-09-04,3,Approved
29,Sick Leave,2021-11-08,3,Approved
29,Earned Leave,2022-10-23,5,Approved
29,Sick Leave,2022-06-07,2,Approved
29,Earned Leave,2023-07-12,4,Approved
30,Earned Leave,2022-09-17,7,Approved
30,Earned Leave,2023-01-04,7,Approved
31,Earned Leave,2022-06-05,4,Approved
31,Sick Leave,2022-06-13,2,Approved
31,Earned Leave,2023-02-02,3,Approved
32,Sick Leave,2021-06-13,3,Approved
32,Earned Leave,2022-11-20,6,Approved
32,Earned Leave,2023-10-02,3,Approved
33,Sick Leave,2015-09-24,2,Approved
33,Earned Leave,2016-06-09,5,Approved
33,Sick Leave,2016-08-09,3,Approved
33,Sick Leave,2017-08-24,2,Approved
33,Sick Leave,2018-07-07,2,Approved
33,Earned Leave,2019-05-25,4,Approved
33,Sick Leave,2019-05-12,3,Approved
33,Earned Leave,2020-01-02,6,Approved
33,Sick Leave,2020-08-24,3,Approved
33,Earned Leave,2021-01-16,3,Approved
33,Sick Leave,2021-10-05,3,Approved
33,Earned Leave,2022-01-02,5,Approved
33,Sick Leave,2022-08-13,2,Approved
33,Earned Leave,2023-04-05,3,Approved
33,Sick Leave,2023-11-13,2,Approved
34,Earned Leave,2016-11-17,3,Approved
34,Sick Leave,2016-03-26,3,Approved
34,Earned Leave,2017-01-19,7,Approved
35,Earned Leave,2021-06-11,7,Approved
36,Earned Leave,2020-08-18,4,Approved
36,Sick Leave,2020-06-21,2,Approved
37,Sick Leave,2017-09-19,2,Approved
37,Earned Leave,2018-07-07,6,Approved
37,Earned Leave,2019-02-27,4,Approved
37,Sick Leave,2019-06-25,2,Approved
37,Earned Leave,2020-07-05,3,Approved
37,Earned Leave,2021-05-20,6,Approved
37,Sick Leave,2022-02-16,3,Approved
37,Earned Leave,2023-09-06,7,Approved
37,Sick Leave,2023-10-04,2,Approved
38,Earned Leave,2020-03-05,6,Approved
38,Earned Leave,2021-03-06,3,Approved
38,Sick Leave,2021-11-15,3,Approved
38,Earned Leave,2022-10-05,7,Approved
38,Earned Leave,2023-01-26,3,Approved
39,Earned Leave,2021-10-04,7,Approved
39,Earned Leave,2022-06-12,5,Approved
40,Sick Leave,2020-09-14,3,Approved
40,Earned Leave,2021-07-27,5,Approved
40,Earned Leave,2022-05-23,6,Approved
40,Earned Leave,2023-10-22,4,Approved
41,Sick Leave,2021-04-07,3,Approved
41,Earned Leave,2022-06-06,4,Approved
41,Sick Leave,2022-01-07,3,Approved
41,Earned Leave,2023-01-18,3,Approved
41,Sick Leave,2023-02-27,2,Approved
42,Earned Leave,2019-02-25,7,Approved
42,Sick Leave,2019-11-19,3,Approved
43,Earned Leave,2022-03-01,5,Approved
43,Sick Leave,2023-08-08,2,Approved
44,Earned Leave,2021-09-07,3,Approved
44,Sick Leave,2021-07-26,2,Approved
44,Earned Leave,2022-04-06,6,Approved
44,Sick Leave,2022-09-09,2,Approved
44,Earned Leave,2023-01-03,3,Approved
45,Earned Leave,2023-04-05,7,Approved
46,Earned Leave,2019-09-14,6,Approved
46,Sick Leave,2019-10-23,2,Approved
46,Earned Leave,2021-05-19,6,Approved
46,Earned Leave,2022-01-15,5,Approved
46,Earned Leave,2023-02-26,6,Approved
47,Earned Leave,2019-09-25,6,Approved
47,Earned Leave,2020-07-08,4,Approved
47,Sick Leave,2020-09-08,3,Approved
47,Sick Leave,2021-06-13,3,Approved
47,Earned Leave,2022-07-12,6,Approved
47,Sick Leave,2022-10-12,3,Approved
47,Earned Leave,2023-06-13,3,Approved
48,Earned Leave,2017-02-22,3,Approved
48,Earned Leave,2018-02-22,4,Approved
48,Earned Leave,2019-09-25,7,Approved
48,Sick Leave,2019-11-06,3,Approved
48,Earned Leave,2020-08-17,7,Approved
48,Earned Leave,2021-10-19,5,Approved
48,Sick Leave,2021-02-19,3,Approved
48,Earned Leave,2022-03-02,6,Approved
48,Sick Leave,2022-03-24,2,Approved
48,Earned Leave,2023-06-25,3,Approved
48,Sick Leave,2023-10-09,2,Approved
49,Sick Leave,2022-09-03,3,Approved
49,Earned Leave,2023-04-07,6,Approved
49,Sick Leave,2023-08-27,2,Approved
50,Sick Leave,2019-08-18,2,Approved
50,Earned Leave,2020-08-20,5,Approved
50,Sick Leave,2020-03-03,2,Approved
50,Sick Leave,2021-07-21,3,Approved
50,Earned Leave,2022-03-22,3,Approved
50,Earned Leave,2023-08-02,7,Approved
50,Sick Leave,2023-01-16,3,Approved
51,Earned Leave,2022-06-08,7,Approved
51,Earned Leave,2023-02-14,7,Approved
51,Sick Leave,2023-08-08,2,Approved
52,Sick Leave,2019-04-18,3,Approved
52,Earned Leave,2020-11-12,3,Approved
52,Sick Leave,2020-11-14,3,Approved
52,Earned Leave,2021-05-06,3,Approved
52,Sick Leave,2021-09-12,3,Approved
52,Earned Leave,2022-03-11,5,Approved
