employee_id,year,rating,review_date
1,2018,3,2018-12-31
1,2019,4,2019-12-31
1,2020,5,2020-12-31
1,2021,5,2021-12-31
1,2022,5,2022-12-31
1,2023,5,2023-12-31
2,2023,5,2023-12-31
3,2015,3,2015-12-31
3,2016,3,2016-12-31
3,2017,3,2017-12-31
3,2018,2,2018-12-31
3,2019,3,2019-12-31
3,2020,4,2020-12-31
3,2021,5,2021-12-31
3,2022,5,2022-12-31
3,2023,5,2023-12-31
4,2020,3,2020-12-31
4,2021,3,2021-12-31
4,2022,3,2022-12-31
4,2023,3,2023-12-31
5,2018,2,2018-12-31
5,2019,2,2019-12-31
5,2020,3,2020-12-31
5,2021,2,2021-12-31
5,2022,2,2022-12-31
5,2023,2,2023-12-31
6,2021,4,2021-12-31
6,2022,4,2022-12-31
6,2023,5,2023-12-31
7,2021,4,2021-12-31
7,2022,5,2022-12-31
7,2023,5,2023-12-31
8,2017,4,2017-12-31
8,2018,4,2018-12-31
8,2019,4,2019-12-31
8,2020,4,2020-12-31
8,2021,4,2021-12-31
8,2022,5,2022-12-31
8,2023,5,2023-12-31
9,2020,5,2020-12-31
9,2021,5,2021-12-31
9,2022,5,2022-12-31
9,2023,4,2023-12-31
10,2020,4,2020-12-31
10,2021,5,2021-12-31
10,2022,5,2022-12-31
10,2023,5,2023-12-31
11,2023,5,2023-12-31
12,2019,4,2019-12-31
12,2020,5,2020-12-31
12,2021,4,2021-12-31
13,2017,3,2017-12-31
13,2018,3,2018-12-31
13,2019,3,2019-12-31
13,2020,4,2020-12-31
13,2021,4,2021-12-31
13,2022,3,2022-12-31
13,2023,4,2023-12-31
14,2020,3,2020-12-31
14,2021,3,2021-12-31
14,2022,2,2022-12-31
15,2021,4,2021-12-31
15,2022,5,2022-12-31
15,2023,5,2023-12-31
16,2020,3,2020-12-31
16,2021,3,2021-12-31
16,2022,4,2022-12-31
16,2023,4,2023-12-31
17,2016,4,2016-12-31
17,2017,5,2017-12-31
17,2018,5,2018-12-31
17,2019,5,2019-12-31
17,2020,5,2020-12-31
17,2021,5,2021-12-31
17,2022,5,2022-12-31
17,2023,5,2023-12-31
18,2021,5,2021-12-31
18,2022,5,2022-12-31
18,2023,5,2023-12-31
19,2020,4,2020-12-31
19,2021,5,2021-12-31
19,2022,5,2022-12-31
19,2023,5,2023-12-31
20,2021,5,2021-12-31
20,2022,4,2022-12-31
20,2023,3,2023-12-31
21,2023,3,2023-12-31
22,2020,3,2020-12-31
22,2021,4,2021-12-31
22,2022,4,2022-12-31
22,2023,5,2023-12-31
23,2021,4,2021-12-31
23,2022,5,2022-12-31
23,2023,5,2023-12-31
24,2021,2,2021-12-31
24,2022,1,2022-12-31
24,2023,1,2023-12-31
25,2019,2,2019-12-31
25,2020,3,2020-12-31
25,2021,4,2021-12-31
25,2022,4,2022-12-31
25,2023,4,2023-12-31
26,2022,4,2022-12-31
26,2023,4,2023-12-31
27,2021,4,2021-12-31
27,2022,4,2022-12-31
27,2023,4,2023-12-31
28,2017,4,2017-12-31
28,2018,4,2018-12-31
28,2019,5,2019-12-31
28,2020,5,2020-12-31
28,2021,5,2021-12-31
28,2022,5,2022-12-31
28,2023,5,2023-12-31
29,2021,5,2021-12-31
29,2022,5,2022-12-31
29,2023,5,2023-12-31
30,2022,3,2022-12-31
30,2023,2,2023-12-31
31,2022,2,2022-12-31
31,2023,3,2023-12-31
32,2020,4,2020-12-31
32,2021,4,2021-12-31
32,2022,5,2022-12-31
32,2023,5,2023-12-31
33,2015,4,2015-12-31
33,2016,4,2016-12-31
33,2017,5,2017-12-31
33,2018,5,2018-12-31
33,2019,5,2019-12-31
33,2020,5,2020-12-31
33,2021,5,2021-12-31
33,2022,5,2022-12-31
33,2023,5,2023-12-31
34,2016,5,2016-12-31
34,2017,5,2017-12-31
34,2018,5,2018-12-31
34,2019,4,2019-12-31
35,2020,3,2020-12-31
35,2021,3,2021-12-31
35,2022,4,2022-12-31
35,2023,5,2023-12-31
36,2020,2,2020-12-31
37,2017,4,2017-12-31
37,2018,5,2018-12-31
37,2019,5,2019-12-31
37,2020,5,2020-12-31
37,2021,4,2021-12-31
37,2022,4,2022-12-31
37,2023,4,2023-12-31
38,2020,5,2020-12-31
38,2021,5,2021-12-31
38,2022,5,2022-12-31
38,2023,5,2023-12-31
39,2021,3,2021-12-31
39,2022,3,2022-12-31
39,2023,2,2023-12-31
40,2020,3,2020-12-31
40,2021,3,2021-12-31
40,2022,3,2022-12-31
40,2023,3,2023-12-31
41,2020,3,2020-12-31
41,2021,3,2021-12-31
41,2022,3,2022-12-31
41,2023,4,2023-12-31
42,2018,5,2018-12-31
42,2019,4,2019-12-31
43,2021,4,2021-12-31
43,2022,4,2022-12-31
43,2023,5,2023-12-31
44,2021,4,2021-12-31
44,2022,5,2022-12-31
44,2023,5,2023-12-31
45,2021,2,2021-12-31
45,2022,2,2022-12-31
45,2023,1,2023-12-31
46,2018,5,2018-12-31
46,2019,5,2019-12-31
46,2020,5,2020-12-31
46,2021,5,2021-12-31
46,2022,5,2022-12-31
46,2023,5,2023-12-31
47,2019,4,2019-12-31
47,2020,4,2020-12-31
47,2021,4,2021-12-31
47,2022,4,2022-12-31
47,2023,5,2023-12-31
48,2017,5,2017-12-31
48,2018,5,2018-12-31
48,2019,5,2019-12-31
48,2020,5,2020-12-31
48,2021,5,2021-12-31
48,2022,5,2022-12-31
48,2023,5,2023-12-31
49,2021,4,2021-12-31
49,2022,4,2022-12-31
49,2023,5,2023-12-31
50,2019,3,2019-12-31
50,2020,3,2020-12-31
50,2021,3,2021-12-31
50,2022,3,2022-12-31
50,2023,4,2023-12-31
51,2021,3,2021-12-31
51,2022,3,2022-12-31
51,2023,4,2023-12-31
52,2018,3,2018-12-31
52,2019,2,2019-12-31
52,2020,3,2020-12-31
52,2021,4,2021-12-31
52,2022,5,2022-12-31
52,2023,5,2023-12-31
53,2020,5,2020-12-31
53,2021,5,2021-12-31
53,2022,5,2022-12-31
53,2023,5,2023-12-31
54,2020,4,2020-12-31
54,2021,4,2021-12-31
54,2022,4,2022-12-31
54,2023,5,2023-12-31
55,2021,4,2021-12-31
55,2022,4,2022-12-31
55,2023,4,2023-12-31
56,2021,4,2021-12-31
56,2022,5,2022-12-31
56,2023,5,2023-12-31
57,2023,4,2023-12-31
58,2018,3,2018-12-31
58,2019,3,2019-12-31
58,2020,4,2020-12-31
58,2021,5,2021-12-31
58,2022,5,2022-12-31
58,2023,5,2023-12-31
59,2023,4,2023-12-31
60,2023,4,2023-12-31
61,2017,4,2017-12-31
61,2018,4,2018-12-31
61,2019,3,2019-12-31
62,2015,4,2015-12-31
62,2016,4,2016-12-31
62,2017,5,2017-12-31
62,2018,5,2018-12-31
62,2019,4,2019-12-31
62,2020,5,2020-12-31
62,2021,5,2021-12-31
62,2022,5,2022-12-31
62,2023,5,2023-12-31
63,2019,4,2019-12-31
63,2020,5,2020-12-31
63,2021,5,2021-12-31
63,2022,4,2022-12-31
64,2017,4,2017-12-31
64,2018,4,2018-12-31
64,2019,4,2019-12-31
64,2020,5,2020-12-31
64,2021,5,2021-12-31
64,2022,5,2022-12-31
64,2023,5,2023-12-31
65,2022,4,2022-12-31
65,2023,4,2023-12-31
66,2021,3,2021-12-31
66,2022,2,2022-12-31
66,2023,3,2023-12-31
67,2021,3,2021-12-31
67,2022,3,2022-12-31
67,2023,3,2023-12-31
68,2018,4,2018-12-31
68,2019,4,2019-12-31
68,2020,5,2020-12-31
68,2021,5,2021-12-31
68,2022,5,2022-12-31
68,2023,5,2023-12-31
69,2020,2,2020-12-31
69,2021,3,2021-12-31
69,2022,3,2022-12-31
69,2023,3,2023-12-31
70,2021,4,2021-12-31
70,2022,4,2022-12-31
70,2023,4,2023-12-31
71,2023,3,2023-12-31
72,2023,3,2023-12-31
73,2023,3,2023-12-31
74,2021,4,2021-12-31
74,2022,3,2022-12-31
75,2022,3,2022-12-31
75,2023,3,2023-12-31
76,2021,5,2021-12-31
76,2022,5,2022-12-31
76,2023,5,2023-12-31
77,2020,3,2020-12-31
77,2021,3,2021-12-31
77,2022,4,2022-12-31
77,2023,4,2023-12-31
78,2021,2,2021-12-31
78,2022,2,2022-12-31
78,2023,3,2023-12-31
79,2020,3,2020-12-31
79,2021,4,2021-12-31
79,2022,5,2022-12-31
79,2023,4,2023-12-31
80,2021,2,2021-12-31
80,2022,3,2022-12-31
80,2023,3,2023-12-31
81,2021,5,2021-12-31
81,2022,5,2022-12-31
81,2023,5,2023-12-31
82,2021,3,2021-12-31
82,2022,3,2022-12-31
82,2023,4,2023-12-31
83,2020,3,2020-12-31
83,2021,4,2021-12-31
83,2022,4,2022-12-31
83,2023,3,2023-12-31
84,2021,3,2021-12-31
84,2022,3,2022-12-31
84,2023,3,2023-12-31
85,2021,3,2021-12-31
85,2022,3,2022-12-31
85,2023,3,2023-12-31
86,2022,2,2022-12-31
86,2023,2,2023-12-31
87,2021,4,2021-12-31
87,2022,4,2022-12-31
87,2023,4,2023-12-31
88,2017,4,2017-12-31
88,2018,4,2018-12-31
88,2019,5,2019-12-31
88,2020,4,2020-12-31
