employee_id,effective_date,salary,reason
1,2018-03-29,35628,Joining
1,2022-01-01,37409,Annual Hike
1,2023-01-01,40027,Annual Hike
2,2023-09-29,50196,Joining
3,2015-12-08,85802,Joining
3,2017-01-01,90092,Annual Hike
3,2018-01-01,94596,Annual Hike
3,2019-01-01,99325,Annual Hike
3,2020-01-01,108264,Annual Hike
3,2021-01-01,124503,Promotion
3,2023-01-01,130728,Annual Hike
4,2020-01-24,33434,Joining
4,2021-01-01,36443,Annual Hike
5,2018-07-18,206330,Joining
5,2019-01-01,220773,Annual Hike
5,2020-01-01,240642,Annual Hike
6,2021-06-30,24494,Joining
6,2022-01-01,25718,Annual Hike
6,2023-01-01,28032,Annual Hike
7,2021-12-03,25899,Joining
7,2022-01-01,28229,Annual Hike
8,2017-04-19,17567,Joining
8,2018-01-01,18445,Annual Hike
8,2020-01-01,19736,Annual Hike
8,2021-01-01,20722,Annual Hike
8,2023-01-01,21758,Annual Hike
9,2020-11-19,28450,Joining
9,2021-01-01,31010,Annual Hike
10,2020-03-15,20553,Joining
10,2021-01-01,21580,Annual Hike
10,2022-01-01,23090,Annual Hike
10,2023-01-01,24244,Annual Hike
11,2023-07-08,16832,Joining
12,2019-05-05,32934,Joining
12,2021-01-01,35239,Annual Hike
13,2017-11-18,15979,Joining
13,2018-01-01,17417,Annual Hike
13,2019-01-01,18287,Annual Hike
13,2020-01-01,19932,Annual Hike
13,2022-01-01,20928,Annual Hike
13,2023-01-01,22392,Annual Hike
14,2020-07-14,22051,Joining
14,2022-01-01,23153,Annual Hike
15,2021-01-12,22551,Joining
15,2022-01-01,24129,Annual Hike
16,2020-10-31,146924,Joining
16,2022-01-01,160147,Annual Hike
16,2023-01-01,171357,Annual Hike
17,2016-07-23,22598,Joining
17,2017-01-01,24631,Annual Hike
17,2018-01-01,25862,Annual Hike
17,2019-01-01,27155,Annual Hike
17,2020-01-01,29055,Annual Hike
17,2021-01-01,30507,Annual Hike
17,2022-01-01,32642,Annual Hike
17,2023-01-01,35579,Annual Hike
18,2021-05-19,46773,Joining
18,2023-01-01,49111,Annual Hike
19,2020-07-06,17035,Joining
19,2021-01-01,18227,Annual Hike
19,2022-01-01,19502,Annual Hike
20,2021-11-28,56601,Joining
20,2022-01-01,60563,Annual Hike
21,2023-11-16,16702,Joining
22,2020-05-04,16109,Joining
22,2021-01-01,17558,Annual Hike
22,2023-01-01,18435,Annual Hike
23,2021-05-06,23977,Joining
23,2022-01-01,25655,Annual Hike
24,2021-03-29,15735,Joining
24,2022-01-01,17151,Annual Hike
24,2023-01-01,18008,Annual Hike
25,2019-09-24,84539,Joining
25,2020-01-01,88765,Annual Hike
25,2021-01-01,96753,Annual Hike
25,2022-01-01,103525,Annual Hike
26,2022-05-25,22977,Joining
26,2023-01-01,24125,Annual Hike
27,2021-10-10,22857,Joining
27,2022-01-01,24914,Annual Hike
27,2023-01-01,26657,Annual Hike
28,2017-04-26,23842,Joining
28,2018-01-01,25510,Annual Hike
28,2019-01-01,26785,Annual Hike
28,2021-01-01,28659,Annual Hike
28,2022-01-01,31238,Annual Hike
28,2023-01-01,34049,Annual Hike
29,2021-04-16,22457,Joining
29,2022-01-01,24478,Annual Hike
29,2023-01-01,26191,Annual Hike
30,2022-07-01,45398,Joining
30,2023-01-01,49483,Annual Hike
31,2022-02-23,25586,Joining
32,2020-03-19,21166,Joining
32,2022-01-01,22224,Annual Hike
32,2023-01-01,23779,Annual Hike
33,2015-03-16,16041,Joining
33,2018-01-01,17163,Annual Hike
33,2019-01-01,18021,Annual Hike
33,2020-01-01,19282,Annual Hike
33,2021-01-01,22174,Promotion
33,2022-01-01,24169,Annual Hike
33,2023-01-01,25860,Annual Hike
34,2016-03-19,39315,Joining
34,2017-01-01,42067,Annual Hike
34,2018-01-01,45011,Annual Hike
34,2019-01-01,47261,Annual Hike
35,2020-07-17,39495,Joining
35,2021-01-01,43049,Annual Hike
35,2022-01-01,46062,Annual Hike
35,2023-01-01,49286,Annual Hike
36,2020-02-13,31344,Joining
37,2017-05-15,151745,Joining
37,2019-01-01,162367,Annual Hike
37,2020-01-01,176980,Annual Hike
37,2021-01-01,189368,Annual Hike
37,2022-01-01,206411,Annual Hike
38,2020-01-04,16315,Joining
38,2021-01-01,17457,Annual Hike
39,2021-04-04,65889,Joining
40,2020-08-28,20770,Joining
40,2021-01-01,22639,Annual Hike
40,2022-01-01,24676,Annual Hike
40,2023-01-01,26896,Annual Hike
41,2020-04-18,16297,Joining
41,2021-01-01,17437,Annual Hike
41,2022-01-01,18657,Annual Hike
41,2023-01-01,20336,Annual Hike
42,2018-06-26,16741,Joining
42,2019-01-01,17912,Annual Hike
43,2021-08-19,30267,Joining
43,2022-01-01,32991,Annual Hike
43,2023-01-01,37939,Promotion
44,2021-01-20,38889,Joining
44,2022-01-01,40833,Annual Hike
44,2023-01-01,43691,Annual Hike
45,2021-07-30,24449,Joining
46,2018-08-14,26589,Joining
46,2019-01-01,27918,Annual Hike
46,2021-01-01,30430,Annual Hike
46,2022-01-01,33168,Annual Hike
46,2023-01-01,36153,Annual Hike
47,2019-04-02,22865,Joining
47,2020-01-01,24922,Annual Hike
47,2021-01-01,26666,Annual Hike
47,2023-01-01,29065,Annual Hike
48,2017-02-01,111804,Joining
48,2019-01-01,117394,Annual Hike
48,2020-01-01,127959,Annual Hike
48,2021-01-01,139475,Annual Hike
48,2022-01-01,160396,Promotion
48,2023-01-01,168415,Annual Hike
49,2021-09-15,16156,Joining
49,2023-01-01,16963,Annual Hike
50,2019-03-09,25910,Joining
50,2020-01-01,27205,Annual Hike
50,2021-01-01,29653,Annual Hike
50,2023-01-01,31135,Annual Hike
51,2021-04-05,84998,Joining
51,2022-01-01,89247,Annual Hike
51,2023-01-01,97279,Annual Hike
52,2018-09-26,26146,Joining
52,2019-01-01,27976,Annual Hike
52,2020-01-01,30493,Annual Hike
52,2021-01-01,32017,Annual Hike
52,2022-01-01,34258,Annual Hike
52,2023-01-01,37341,Annual Hike
53,2020-01-02,65901,Joining
53,2021-01-01,70514,Annual Hike
53,2022-01-01,76860,Annual Hike
53,2023-01-01,82240,Annual Hike
54,2020-05-22,28374,Joining
54,2021-01-01,30360,Annual Hike
54,2022-01-01,32485,Annual Hike
54,2023-01-01,34758,Annual Hike
55,2021-05-03,45861,Joining
55,2022-01-01,49988,Annual Hike
56,2021-11-19,15305,Joining
56,2022-01-01,16376,Annual Hike
57,2023-02-22,16658,Joining
58,2018-11-18,15720,Joining
58,2019-01-01,17134,Annual Hike
58,2020-01-01,17990,Annual Hike
58,2021-01-01,19249,Annual Hike
58,2022-01-01,20211,Annual Hike
59,2023-04-19,24738,Joining
60,2023-11-20,15587,Joining
61,2017-02-26,15997,Joining
61,2018-01-01,17116,Annual Hike
61,2019-01-01,18314,Annual Hike
62,2015-05-10,25157,Joining
62,2016-01-01,27421,Annual Hike
62,2019-01-01,28792,Annual Hike
62,2021-01-01,30231,Annual Hike
62,2022-01-01,31742,Annual Hike
63,2019-08-16,17706,Joining
63,2020-01-01,18591,Annual Hike
63,2022-01-01,20264,Annual Hike
64,2017-09-27,15865,Joining
64,2018-01-01,16975,Annual Hike
64,2019-01-01,17823,Annual Hike
64,2020-01-01,18714,Annual Hike
64,2021-01-01,19649,Annual Hike
64,2022-01-01,20631,Annual Hike
64,2023-01-01,22075,Annual Hike
65,2022-03-16,30931,Joining
65,2023-01-01,33096,Annual Hike
66,2021-12-25,141303,Joining
67,2021-08-30,25446,Joining
67,2022-01-01,29262,Promotion
67,2023-01-01,30725,Annual Hike
68,2018-07-08,26235,Joining
68,2019-01-01,27546,Annual Hike
68,2021-01-01,30025,Annual Hike
68,2022-01-01,32126,Annual Hike
68,2023-01-01,35017,Annual Hike
69,2020-06-02,23229,Joining
69,2021-01-01,24855,Annual Hike
69,2022-01-01,27091,Annual Hike
69,2023-01-01,29529,Annual Hike
70,2021-10-01,80228,Joining
70,2022-01-01,84239,Annual Hike
70,2023-01-01,91820,Annual Hike
71,2023-03-22,37986,Joining
72,2023-12-01,24457,Joining
73,2023-11-24,33414,Joining
74,2021-02-15,25988,Joining
74,2022-01-01,27287,Annual Hike
75,2022-10-09,158306,Joining
75,2023-01-01,169387,Annual Hike
76,2021-08-12,50568,Joining
76,2023-01-01,53096,Annual Hike
77,2020-11-27,16977,Joining
77,2022-01-01,17825,Annual Hike
78,2021-08-20,31895,Joining
78,2022-01-01,34127,Annual Hike
78,2023-01-01,35833,Annual Hike
79,2020-02-29,49098,Joining
79,2021-01-01,51552,Annual Hike
79,2023-01-01,54129,Annual Hike
80,2021-05-23,138607,Joining
80,2022-01-01,151081,Annual Hike
81,2021-10-09,43281,Joining
81,2022-01-01,46310,Annual Hike
82,2021-07-20,17634,Joining
82,2022-01-01,18515,Annual Hike
83,2020-03-11,15598,Joining
83,2021-01-01,16377,Annual Hike
83,2022-01-01,17195,Annual Hike
83,2023-01-01,19774,Promotion
84,2021-02-05,18064,Joining
84,2022-01-01,19689,Annual Hike
85,2021-05-30,86294,Joining
85,2022-01-01,94060,Annual Hike
85,2023-01-01,102525,Annual Hike
86,2022-10-15,22227,Joining
86,2023-01-01,23338,Annual Hike
87,2021-07-07,21054,Joining
87,2022-01-01,22948,Annual Hike
88,2017-04-08,25153,Joining
88,2018-01-01,26410,Annual Hike
88,2019-01-01,28786,Annual Hike
88,2020-01-01,30801,Annual Hike
88,2021-01-01,32957,Annual Hike
88,2022-01-01,35263,Annual Hike
89,2016-12-06,31777,Joining
89,2017-01-01,34636,Annual Hike
89,2018-01-01,36367,Annual Hike
89,2019-01-01,38912,Annual Hike
89,2020-01-01,40857,Annual Hike
89,2021-01-01,44534,Annual Hike
89,2022-01-01,46760,Annual Hike
89,2023-01-01,50968,Annual Hike
90,2023-03-16,45062,Joining
91,2021-03-30,134867,Joining
91,2022-01-01,147005,Annual Hike
92,2017-12-26,44258,Joining
92,2018-01-01,46470,Annual Hike
92,2019-01-01,50652,Annual Hike
92,2020-01-01,53184,Annual Hike
92,2021-01-01,55843,Annual Hike
92,2022-01-01,58635,Annual Hike
93,2021-10-26,20069,Joining
93,2023-01-01,21473,Annual Hike
94,2015-03-11,25592,Joining
95,2021-06-09,15079,Joining
95,2022-01-01,17340,Promotion
95,2023-01-01,18553,Annual Hike
96,2021-02-21,17819,Joining
96,2022-01-01,19422,Annual Hike
96,2023-01-01,20393,Annual Hike
97,2021-02-04,24552,Joining
97,2022-01-01,26270,Annual Hike
97,2023-01-01,28634,Annual Hike
98,2019-06-25,22260,Joining
98,2020-01-01,24263,Annual Hike
98,2022-01-01,25961,Annual Hike
98,2023-01-01,28297,Annual Hike
99,2015-02-15,129083,Joining
99,2016-01-01,140700,Annual Hike
99,2017-01-01,147735,Annual Hike
99,2018-01-01,161031,Annual Hike
99,2020-01-01,172303,Annual Hike
99,2021-01-01,180918,Annual Hike
99,2023-01-01,197200,Annual Hike
100,2018-04-14,17084,Joining
100,2019-01-01,18279,Annual Hike
100,2020-01-01,19924,Annual Hike
100,2021-01-01,21318,Annual Hike
100,2023-01-01,22383,Annual Hike
101,2021-12-13,53966,Joining
101,2023-01-01,58822,Annual Hike
102,2020-11-14,30944,Joining
102,2021-01-01,32491,Annual Hike
102,2023-01-01,37364,Promotion
103,2020-11-13,30494,Joining
103,2021-01-01,32018,Annual Hike
103,2022-01-01,34259,Annual Hike
103,2023-01-01,36657,Annual Hike
104,2015-10-03,16935,Joining
104,2016-01-01,18120,Annual Hike
104,2017-01-01,19026,Annual Hike
104,2018-01-01,20738,Annual Hike
104,2019-01-01,23848,Promotion
104,2020-01-01,25994,Annual Hike
104,2023-01-01,27293,Annual Hike
105,2018-05-21,16345,Joining
105,2019-01-01,17816,Annual Hike
105,2020-01-01,20488,Promotion
106,2017-11-07,17223,Joining
106,2018-01-01,18084,Annual Hike
106,2020-01-01,19711,Annual Hike
106,2022-01-01,21090,Annual Hike
106,2023-01-01,22988,Annual Hike
107,2020-09-04,39899,Joining
107,2021-01-01,41893,Annual Hike
107,2022-01-01,45663,Annual Hike
107,2023-01-01,47946,Annual Hike
108,2023-07-17,131165,Joining
109,2022-09-10,15731,Joining
109,2023-01-01,16832,Annual Hike
110,2019-02-21,16589,Joining
110,2020-01-01,17418,Annual Hike
110,2021-01-01,18985,Annual Hike
110,2022-01-01,20693,Annual Hike
111,2021-11-11,15335,Joining
111,2022-01-01,16101,Annual Hike
111,2023-01-01,17550,Annual Hike
112,2018-04-25,43848,Joining
112,2020-01-01,46040,Annual Hike
113,2017-03-22,16182,Joining
113,2018-01-01,17314,Annual Hike
113,2019-01-01,18872,Annual Hike
113,2020-01-01,20193,Annual Hike
114,2021-04-11,49425,Joining
114,2022-01-01,52884,Annual Hike
114,2023-01-01,55528,Annual Hike
115,2019-08-03,15020,Joining
115,2020-01-01,16071,Annual Hike
115,2021-01-01,16874,Annual Hike
115,2022-01-01,18392,Annual Hike
115,2023-01-01,21150,Promotion
116,2020-09-16,25278,Joining
116,2021-01-01,26541,Annual Hike
116,2023-01-01,28398,Annual Hike
117,2023-05-04,16921,Joining
118,2017-11-26,49536,Joining
118,2019-01-01,56966,Promotion
118,2021-01-01,60953,Annual Hike
118,2022-01-01,64000,Annual Hike
118,2023-01-01,69760,Annual Hike
119,2016-03-03,18163,Joining
119,2017-01-01,19071,Annual Hike
119,2018-01-01,20405,Annual Hike
119,2019-01-01,21425,Annual Hike
119,2020-01-01,22496,Annual Hike
119,2022-01-01,23620,Annual Hike
119,2023-01-01,25745,Annual Hike
120,2021-12-14,62675,Joining
120,2023-01-01,65808,Annual Hike
121,2020-04-20,17714,Joining
121,2021-01-01,19308,Annual Hike
122,2020-08-18,17871,Joining
122,2021-01-01,19479,Annual Hike
122,2023-01-01,21232,Annual Hike
123,2021-12-04,33875,Joining
123,2023-01-01,36246,Annual Hike
124,2021-08-13,44781,Joining
124,2022-01-01,48811,Annual Hike
124,2023-01-01,52227,Annual Hike
125,2020-03-28,202573,Joining
125,2021-01-01,220804,Annual Hike
125,2022-01-01,240676,Annual Hike
125,2023-01-01,257523,Annual Hike
126,2022-01-08,146078,Joining
126,2023-01-01,156303,Annual Hike
127,2019-04-26,63520,Joining
127,2021-01-01,69236,Annual Hike
127,2022-01-01,72697,Annual Hike
127,2023-01-01,76331,Annual Hike
128,2021-12-05,27298,Joining
128,2022-01-01,28662,Annual Hike
128,2023-01-01,30095,Annual Hike
129,2018-10-11,17159,Joining
129,2019-01-01,18703,Annual Hike
129,2020-01-01,19638,Annual Hike
129,2021-01-01,21012,Annual Hike
129,2023-01-01,22482,Annual Hike
130,2022-10-14,15020,Joining
130,2023-01-01,16071,Annual Hike
131,2022-05-04,112510,Joining
131,2023-01-01,120385,Annual Hike
132,2023-02-26,26600,Joining
133,2020-09-14,104179,Joining
133,2021-01-01,111471,Annual Hike
133,2022-01-01,119273,Annual Hike
134,2016-08-02,33258,Joining
134,2017-01-01,34920,Annual Hike
134,2019-01-01,38062,Annual Hike
134,2020-01-01,41487,Annual Hike
134,2021-01-01,45220,Annual Hike
134,2023-01-01,49289,Annual Hike
135,2020-10-01,193962,Joining
135,2021-01-01,207539,Annual Hike
136,2021-07-14,38853,Joining
136,2022-01-01,40795,Annual Hike
136,2023-01-01,43650,Annual Hike
137,2017-11-20,22645,Joining
137,2020-01-01,24230,Annual Hike
137,2021-01-01,25926,Annual Hike
137,2023-01-01,27222,Annual Hike
138,2021-12-19,31972,Joining
138,2022-01-01,33570,Annual Hike
139,2015-08-15,152230,Joining
139,2017-01-01,162886,Annual Hike
140,2021-03-29,24285,Joining
140,2023-01-01,26470,Annual Hike
141,2021-02-05,129089,Joining
141,2022-01-01,140707,Annual Hike
141,2023-01-01,150556,Annual Hike
142,2020-04-07,27855,Joining
142,2022-01-01,29804,Annual Hike
143,2022-11-23,24594,Joining
143,2023-01-01,25823,Annual Hike
144,2022-06-23,21544,Joining
144,2023-01-01,23482,Annual Hike
145,2019-05-09,18050,Joining
145,2020-01-01,19674,Annual Hike
145,2021-01-01,21051,Annual Hike
146,2022-10-04,39076,Joining
147,2020-01-30,54976,Joining
147,2021-01-01,57724,Annual Hike
148,2018-07-15,44237,Joining
148,2019-01-01,46448,Annual Hike
148,2020-01-01,48770,Annual Hike
148,2022-01-01,53159,Annual Hike
148,2023-01-01,55816,Annual Hike
149,2022-12-06,27914,Joining
149,2023-01-01,29309,Annual Hike
150,2017-10-26,21362,Joining
150,2018-01-01,23284,Annual Hike
150,2020-01-01,24913,Annual Hike
150,2022-01-01,26656,Annual Hike
150,2023-01-01,27988,Annual Hike
151,2019-10-11,30773,Joining
151,2021-01-01,33542,Annual Hike
151,2022-01-01,36560,Annual Hike
151,2023-01-01,39119,Annual Hike
152,2021-03-01,16986,Joining
152,2022-01-01,18175,Annual Hike
153,2023-12-01,36413,Joining
154,2021-09-17,16528,Joining
154,2022-01-01,17684,Annual Hike
154,2023-01-01,18568,Annual Hike
155,2016-10-17,21065,Joining
155,2017-01-01,22539,Annual Hike
155,2018-01-01,24116,Annual Hike
155,2019-01-01,25804,Annual Hike
155,2020-01-01,27610,Annual Hike
155,2021-01-01,29542,Annual Hike
155,2022-01-01,33973,Promotion
155,2023-01-01,35671,Annual Hike
156,2020-03-31,77474,Joining
156,2021-01-01,81347,Annual Hike
156,2022-01-01,88668,Annual Hike
156,2023-01-01,93101,Annual Hike
157,2018-01-19,24784,Joining
157,2019-01-01,26518,Annual Hike
157,2021-01-01,28904,Annual Hike
157,2022-01-01,30349,Annual Hike
157,2023-01-01,32473,Annual Hike
158,2023-10-18,18135,Joining
159,2020-04-26,15447,Joining
159,2021-01-01,16837,Annual Hike
160,2023-11-11,24619,Joining
161,2016-03-20,127952,Joining
161,2018-01-01,136908,Annual Hike
161,2019-01-01,143753,Annual Hike
161,2020-01-01,150940,Annual Hike
161,2021-01-01,161505,Annual Hike
161,2022-01-01,172810,Annual Hike
161,2023-01-01,188362,Annual Hike
162,2020-07-07,33847,Joining
162,2021-01-01,35539,Annual Hike
162,2023-01-01,38026,Annual Hike
163,2015-11-07,20003,Joining
163,2016-01-01,21403,Annual Hike
163,2017-01-01,23329,Annual Hike
163,2018-01-01,25428,Annual Hike
163,2019-01-01,27716,Annual Hike
163,2021-01-01,30210,Annual Hike
163,2022-01-01,32324,Annual Hike
164,2021-12-22,15870,Joining
164,2022-01-01,16980,Annual Hike
165,2020-10-20,21638,Joining
