employee_id,date,score
1,2018-11-01,7
1,2019-11-01,7
1,2020-11-01,9
1,2021-11-01,7
1,2022-11-01,7
1,2023-11-01,8
2,2023-11-01,8
3,2015-11-01,7
3,2016-11-01,10
3,2017-11-01,7
3,2018-11-01,7
3,2019-11-01,7
3,2020-11-01,7
3,2021-11-01,8
3,2022-11-01,9
3,2023-11-01,10
4,2020-11-01,7
4,2021-11-01,10
4,2022-11-01,9
4,2023-11-01,7
5,2018-11-01,10
5,2019-11-01,10
5,2020-11-01,10
5,2021-11-01,7
5,2022-11-01,7
5,2023-11-01,7
6,2021-11-01,7
6,2022-11-01,7
6,2023-11-01,8
7,2021-11-01,7
7,2022-11-01,8
7,2023-11-01,10
8,2017-11-01,8
8,2018-11-01,8
8,2019-11-01,10
8,2020-11-01,10
8,2021-11-01,10
8,2022-11-01,7
8,2023-11-01,7
9,2020-11-01,7
9,2021-11-01,9
9,2022-11-01,3
9,2023-11-01,4
10,2020-11-01,9
10,2021-11-01,8
10,2022-11-01,8
10,2023-11-01,7
11,2023-11-01,7
12,2019-11-01,8
12,2020-11-01,3
12,2021-11-01,5
12,2022-11-01,4
12,2023-11-01,3
13,2017-11-01,7
13,2018-11-01,9
13,2019-11-01,7
13,2020-11-01,7
13,2021-11-01,7
13,2022-11-01,9
13,2023-11-01,8
14,2020-11-01,9
14,2021-11-01,7
14,2022-11-01,3
14,2023-11-01,5
15,2021-11-01,7
15,2022-11-01,8
15,2023-11-01,7
16,2020-11-01,7
16,2021-11-01,7
16,2022-11-01,9
16,2023-11-01,9
17,2016-11-01,7
17,2017-11-01,10
17,2018-11-01,10
17,2019-11-01,8
17,2020-11-01,8
17,2021-11-01,10
17,2022-11-01,8
17,2023-11-01,8
18,2021-11-01,9
18,2022-11-01,9
18,2023-11-01,10
19,2020-11-01,7
19,2021-11-01,8
19,2022-11-01,9
19,2023-11-01,8
20,2021-11-01,7
20,2022-11-01,7
20,2023-11-01,9
21,2023-11-01,8
22,2020-11-01,10
22,2021-11-01,10
22,2022-11-01,7
22,2023-11-01,8
23,2021-11-01,8
23,2022-11-01,10
23,2023-11-01,9
24,2021-11-01,9
24,2022-11-01,10
24,2023-11-01,7
25,2019-11-01,9
25,2020-11-01,10
25,2021-11-01,7
25,2022-11-01,7
25,2023-11-01,8
26,2022-11-01,7
26,2023-11-01,7
27,2021-11-01,7
27,2022-11-01,7
27,2023-11-01,9
28,2017-11-01,7
28,2018-11-01,9
28,2019-11-01,10
28,2020-11-01,10
28,2021-11-01,7
28,2022-11-01,10
28,2023-11-01,9
29,2021-11-01,9
29,2022-11-01,8
29,2023-11-01,7
30,2022-11-01,7
30,2023-11-01,3
31,2022-11-01,9
31,2023-11-01,10
32,2020-11-01,8
32,2021-11-01,10
32,2022-11-01,10
32,2023-11-01,9
33,2015-11-01,10
33,2016-11-01,9
33,2017-11-01,9
33,2018-11-01,8
33,2019-11-01,8
33,2020-11-01,8
33,2021-11-01,10
33,2022-11-01,7
33,2023-11-01,10
34,2016-11-01,7
34,2017-11-01,9
34,2018-11-01,8
34,2019-11-01,3
34,2020-11-01,4
34,2021-11-01,5
34,2022-11-01,3
34,2023-11-01,5
35,2020-11-01,8
35,2021-11-01,7
35,2022-11-01,10
35,2023-11-01,8
36,2020-11-01,3
36,2021-11-01,3
36,2022-11-01,5
36,2023-11-01,5
37,2017-11-01,7
37,2018-11-01,8
37,2019-11-01,7
37,2020-11-01,8
37,2021-11-01,7
37,2022-11-01,7
37,2023-11-01,9
38,2020-11-01,7
38,2021-11-01,9
38,2022-11-01,7
38,2023-11-01,7
39,2021-11-01,9
39,2022-11-01,4
39,2023-11-01,5
40,2020-11-01,7
40,2021-11-01,10
40,2022-11-01,10
40,2023-11-01,7
41,2020-11-01,8
41,2021-11-01,8
41,2022-11-01,7
41,2023-11-01,8
42,2018-11-01,10
42,2019-11-01,3
42,2020-11-01,3
42,2021-11-01,3
42,2022-11-01,3
42,2023-11-01,3
43,2021-11-01,10
43,2022-11-01,9
43,2023-11-01,7
44,2021-11-01,9
44,2022-11-01,7
44,2023-11-01,8
45,2021-11-01,8
45,2022-11-01,10
45,2023-11-01,9
46,2018-11-01,7
46,2019-11-01,9
46,2020-11-01,8
46,2021-11-01,10
46,2022-11-01,9
46,2023-11-01,8
47,2019-11-01,9
47,2020-11-01,7
47,2021-11-01,10
47,2022-11-01,8
47,2023-11-01,10
48,2017-11-01,9
48,2018-11-01,7
48,2019-11-01,8
48,2020-11-01,7
48,2021-11-01,7
48,2022-11-01,7
48,2023-11-01,8
49,2021-11-01,10
49,2022-11-01,10
49,2023-11-01,8
50,2019-11-01,8
50,2020-11-01,10
50,2021-11-01,9
50,2022-11-01,7
50,2023-11-01,9
51,2021-11-01,7
51,2022-11-01,10
51,2023-11-01,9
52,2018-11-01,8
52,2019-11-01,9
52,2020-11-01,10
52,2021-11-01,10
52,2022-11-01,8
52,2023-11-01,8
53,2020-11-01,10
53,2021-11-01,7
53,2022-11-01,7
53,2023-11-01,10
54,2020-11-01,7
54,2021-11-01,9
54,2022-11-01,8
54,2023-11-01,7
55,2021-11-01,8
55,2022-11-01,9
55,2023-11-01,8
56,2021-11-01,10
56,2022-11-01,10
56,2023-11-01,9
57,2023-11-01,8
58,2018-11-01,9
58,2019-11-01,9
58,2020-11-01,10
58,2021-11-01,10
58,2022-11-01,7
58,2023-11-01,7
59,2023-11-01,7
60,2023-11-01,7
61,2017-11-01,9
61,2018-11-01,7
61,2019-11-01,5
61,2020-11-01,4
61,2021-11-01,3
61,2022-11-01,3
61,2023-11-01,4
62,2015-11-01,9
62,2016-11-01,9
62,2017-11-01,10
62,2018-11-01,10
62,2019-11-01,10
62,2020-11-01,10
62,2021-11-01,9
62,2022-11-01,9
62,2023-11-01,10
63,2019-11-01,10
63,2020-11-01,9
63,2021-11-01,4
63,2022-11-01,4
63,2023-11-01,3
64,2017-11-01,7
64,2018-11-01,8
64,2019-11-01,8
64,2020-11-01,10
64,2021-11-01,7
64,2022-11-01,7
64,2023-11-01,7
65,2022-11-01,9
65,2023-11-01,7
66,2021-11-01,8
66,2022-11-01,9
66,2023-11-01,7
67,2021-11-01,7
67,2022-11-01,10
67,2023-11-01,8
68,2018-11-01,7
68,2019-11-01,8
68,2020-11-01,7
68,2021-11-01,8
68,2022-11-01,10
68,2023-11-01,7
69,2020-11-01,10
69,2021-11-01,7
69,2022-11-01,8
69,2023-11-01,7
70,2021-11-01,7
70,2022-11-01,7
70,2023-11-01,9
71,2023-11-01,9
72,2023-11-01,8
73,2023-11-01,7
74,2021-11-01,10
74,2022-11-01,5
74,2023-11-01,5
75,2022-11-01,8
75,2023-11-01,9
76,2021-11-01,7
76,2022-11-01,7
76,2023-11-01,8
77,2020-11-01,9
77,2021-11-01,7
77,2022-11-01,9
77,2023-11-01,8
78,2021-11-01,8
78,2022-11-01,9
78,2023-11-01,9
79,2020-11-01,9
79,2021-11-01,9
79,2022-11-01,8
79,2023-11-01,10
80,2021-11-01,10
80,2022-11-01,8
80,2023-11-01,7
81,2021-11-01,10
81,2022-11-01,8
81,2023-11-01,7
82,2021-11-01,7
82,2022-11-01,9
82,2023-11-01,8
83,2020-11-01,10
83,2021-11-01,8
83,2022-11-01,3
83,2023-11-01,4
84,2021-11-01,8
84,2022-11-01,8
84,2023-11-01,9
85,2021-11-01,8
85,2022-11-01,10
85,2023-11-01,8
86,2022-11-01,9
86,2023-11-01,9
87,2021-11-01,10
87,2022-11-01,9
87,2023-11-01,9
88,2017-11-01,10
88,2018-11-01,8
88,2019-11-01,8
88,2020-11-01,8
88,2021-11-01,8
88,2022-11-01,8
88,2023-11-01,10
89,2016-11-01,7
89,2017-11-01,8
89,2018-11-01,7
89,2019-11-01,9
89,2020-11-01,9
89,2021-11-01,10
89,2022-11-01,8
89,2023-11-01,7
90,2023-11-01,7
91,2021-11-01,10
91,2022-11-01,10
91,2023-11-01,10
92,2017-11-01,8
92,2018-11-01,10
92,2019-11-01,9
92,2020-11-01,8
92,2021-11-01,8
92,2022-11-01,9
92,2023-11-01,7
93,2021-11-01,8
93,2022-11-01,10
93,2023-11-01,10
94,2015-11-01,8
94,2016-11-01,3
94,2017-11-01,5
94,2018-11-01,4
94,2019-11-01,4
94,2020-11-01,5
94,2021-11-01,4
94,2022-11-01,5
94,2023-11-01,5
95,2021-11-01,7
95,2022-11-01,8
95,2023-11-01,8
96,2021-11-01,10
96,2022-11-01,10
96,2023-11-01,10
97,2021-11-01,7
97,2022-11-01,7
97,2023-11-01,4
98,2019-11-01,10
98,2020-11-01,10
98,2021-11-01,10
98,2022-11-01,7
98,2023-11-01,9
99,2015-11-01,10
99,2016-11-01,7
99,2017-11-01,9
99,2018-11-01,9
99,2019-11-01,7
99,2020-11-01,9
99,2021-11-01,9
99,2022-11-01,10
99,2023-11-01,10
100,2018-11-01,7
100,2019-11-01,8
100,2020-11-01,7
100,2021-11-01,10
100,2022-11-01,7
100,2023-11-01,10
101,2021-11-01,9
101,2022-11-01,8
101,2023-11-01,10
102,2020-11-01,10
102,2021-11-01,7
102,2022-11-01,10
102,2023-11-01,9
103,2020-11-01,10
103,2021-11-01,8
103,2022-11-01,9
103,2023-11-01,7
104,2015-11-01,7
104,2016-11-01,8
104,2017-11-01,8
104,2018-11-01,10
104,2019-11-01,8
104,2020-11-01,8
104,2021-11-01,8
104,2022-11-01,8
104,2023-11-01,8
105,2018-11-01,9
105,2019-11-01,10
105,2020-11-01,3
105,2021-11-01,3
105,2022-11-01,5
105,2023-11-01,5
106,2017-11-01,7
106,2018-11-01,8
106,2019-11-01,10
106,2020-11-01,10
106,2021-11-01,8
106,2022-11-01,10
106,2023-11-01,9
107,2020-11-01,10
107,2021-11-01,10
107,2022-11-01,8
107,2023-11-01,8
108,2023-11-01,10
109,2022-11-01,8
109,2023-11-01,9
110,2019-11-01,9
110,2020-11-01,8
110,2021-11-01,3
110,2022-11-01,5
110,2023-11-01,4
111,2021-11-01,8
111,2022-11-01,9
111,2023-11-01,9
112,2018-11-01,8
112,2019-11-01,3
112,2020-11-01,4
112,2021-11-01,5
112,2022-11-01,4
112,2023-11-01,5
113,2017-11-01,9
113,2018-11-01,9
113,2019-11-01,7
113,2020-11-01,3
113,2021-11-01,5
113,2022-11-01,3
113,2023-11-01,3
114,2021-11-01,8
114,2022-11-01,7
114,2023-11-01,10
115,2019-11-01,7
115,2020-11-01,10
115,2021-11-01,10
115,2022-11-01,7
115,2023-11-01,10
116,2020-11-01,8
116,2021-11-01,8
116,2022-11-01,8
116,2023-11-01,8
117,2023-11-01,8
118,2017-11-01,9
118,2018-11-01,8
118,2019-11-01,9
118,2020-11-01,9
118,2021-11-01,9
118,2022-11-01,8
118,2023-11-01,9
119,2016-11-01,7
119,2017-11-01,7
119,2018-11-01,8
119,2019-11-01,7
119,2020-11-01,8
119,2021-11-01,9
119,2022-11-01,7
119,2023-11-01,9
120,2021-11-01,8
120,2022-11-01,7
120,2023-11-01,8
121,2020-11-01,9
121,2021-11-01,8
121,2022-11-01,9
121,2023-11-01,10
122,2020-11-01,9
122,2021-11-01,10
122,2022-11-01,10
122,2023-11-01,5
123,2021-11-01,9
123,2022-11-01,7
123,2023-11-01,10
124,2021-11-01,8
124,2022-11-01,9
124,2023-11-01,10
125,2020-11-01,7
125,2021-11-01,9
125,2022-11-01,7
125,2023-11-01,8
126,2022-11-01,10
126,2023-11-01,7
127,2019-11-01,7
127,2020-11-01,8
127,2021-11-01,7
127,2022-11-01,10
127,2023-11-01,9
128,2021-11-01,8
128,2022-11-01,10
128,2023-11-01,10
129,2018-11-01,10
129,2019-11-01,9
129,2020-11-01,10
129,2021-11-01,8
129,2022-11-01,10
129,2023-11-01,7
130,2022-11-01,7
130,2023-11-01,8
131,2022-11-01,10
131,2023-11-01,7
132,2023-11-01,10
133,2020-11-01,10
133,2021-11-01,7
133,2022-11-01,9
133,2023-11-01,9
134,2016-11-01,7
134,2017-11-01,10
134,2018-11-01,7
134,2019-11-01,7
134,2020-11-01,8
134,2021-11-01,8
134,2022-11-01,8
134,2023-11-01,10
135,2020-11-01,9
135,2021-11-01,3
135,2022-11-01,5
135,2023-11-01,5
136,2021-11-01,8
136,2022-11-01,9
136,2023-11-01,8
137,2017-11-01,10
137,2018-11-01,8
137,2019-11-01,7
137,2020-11-01,10
137,2021-11-01,10
137,2022-11-01,10
137,2023-11-01,10
138,2021-11-01,8
138,2022-11-01,10
138,2023-11-01,7
139,2015-11-01,7
139,2016-11-01,7
139,2017-11-01,5
139,2018-11-01,3
139,2019-11-01,5
139,2020-11-01,4
139,2021-11-01,3
139,2022-11-01,5
139,2023-11-01,3
140,2021-11-01,10
140,2022-11-01,9
140,2023-11-01,9
141,2021-11-01,10
141,2022-11-01,8
141,2023-11-01,10
142,2020-11-01,8
142,2021-11-01,9
142,2022-11-01,7
142,2023-11-01,7
143,2022-11-01,8
143,2023-11-01,9
144,2022-11-01,8
144,2023-11-01,10
145,2019-11-01,9
145,2020-11-01,7
145,2021-11-01,7
145,2022-11-01,7
145,2023-11-01,7
146,2022-11-01,9
146,2023-11-01,8
147,2020-11-01,4
147,2021-11-01,4
147,2022-11-01,4
147,2023-11-01,5
148,2018-11-01,7
148,2019-11-01,8
148,2020-11-01,8
148,2021-11-01,9
148,2022-11-01,7
148,2023-11-01,7
149,2022-11-01,9
149,2023-11-01,7
150,2017-11-01,9
150,2018-11-01,7
150,2019-11-01,10
150,2020-11-01,9
150,2021-11-01,7
150,2022-11-01,8
150,2023-11-01,9
151,2019-11-01,8
151,2020-11-01,7
151,2021-11-01,8
151,2022-11-01,10
151,2023-11-01,7
152,2021-11-01,9
